timestamp,embedding_case,umap_n_components,umap_n_neighbors,umap_min_dist,umap_metric,umap2d_n_neighbors,umap2d_min_dist,umap2d_metric,hdbscan_min_cluster_size,hdbscan_min_samples,hdbscan_cluster_selection_method,hdbscan_metric,random_state,n_clusters,noise_ratio,min_size,median_size,max_size
2026-04-17T03:10:58,video,10,10,0.0,euclidean,15,0.1,cosine,15,,leaf,euclidean,42,10,0.4057,16,37,97
2026-04-17T03:10:58,video,10,10,0.0,euclidean,15,0.1,euclidean,15,,leaf,cosine,42,10,0.4563,16,37,76
2026-04-17T03:10:58,video,10,10,0.0,euclidean,15,0.1,cosine,15,,leaf,cosine,42,10,0.4563,16,37,76
2026-04-17T03:11:10,video,10,10,0.0,correlation,15,0.1,cosine,15,,leaf,euclidean,42,14,0.3962,15,21,73
2026-04-17T03:11:10,video,10,10,0.0,correlation,15,0.1,euclidean,15,,leaf,euclidean,42,14,0.3962,15,21,73
2026-04-17T03:11:10,video,10,10,0.0,correlation,15,0.1,euclidean,15,,leaf,cosine,42,12,0.3893,16,35,76
2026-04-17T03:11:10,video,10,10,0.0,correlation,15,0.1,cosine,15,,leaf,cosine,42,12,0.3893,16,35,76
2026-04-17T03:11:23,video,10,10,0.0,cosine,15,0.1,euclidean,25,,eom,euclidean,42,5,0.3893,38,72,193
2026-04-17T03:11:23,video,10,10,0.0,cosine,15,0.1,euclidean,25,,eom,cosine,42,3,0.2596,36,189,317
2026-04-17T03:11:23,video,10,10,0.0,cosine,15,0.1,cosine,25,,eom,euclidean,42,5,0.3893,38,72,193
2026-04-17T03:11:23,video,10,10,0.0,cosine,15,0.1,cosine,25,,eom,cosine,42,3,0.2596,36,189,317
2026-04-17T03:11:33,video,10,10,0.0,euclidean,15,0.1,euclidean,25,,eom,euclidean,42,3,0.2678,38,208,290
2026-04-17T03:11:33,video,10,10,0.0,euclidean,15,0.1,euclidean,25,,eom,cosine,42,4,0.3169,34,126,213
2026-04-17T03:11:34,video,10,10,0.0,euclidean,15,0.1,cosine,25,,eom,euclidean,42,3,0.2678,38,208,290
2026-04-17T03:11:34,video,10,10,0.0,euclidean,15,0.1,cosine,25,,eom,cosine,42,4,0.3169,34,126,213
2026-04-17T03:11:47,video,10,10,0.0,correlation,15,0.1,euclidean,25,,eom,euclidean,42,3,0.2678,43,196,297
2026-04-17T03:11:47,video,10,10,0.0,correlation,15,0.1,cosine,25,,eom,euclidean,42,3,0.2678,43,196,297
2026-04-17T03:11:47,video,10,10,0.0,correlation,15,0.1,cosine,25,,eom,cosine,42,3,0.2801,37,192,298
2026-04-17T03:11:47,video,10,10,0.0,correlation,15,0.1,euclidean,25,,eom,cosine,42,3,0.2801,37,192,298
2026-04-17T03:11:59,video,10,10,0.0,cosine,15,0.1,euclidean,25,,leaf,euclidean,42,6,0.5533,31,44,98
2026-04-17T03:11:59,video,10,10,0.0,cosine,15,0.1,cosine,25,,leaf,euclidean,42,6,0.5533,31,44,98
2026-04-17T03:11:59,video,10,10,0.0,cosine,15,0.1,euclidean,25,,leaf,cosine,42,5,0.4194,35,62,189
2026-04-17T03:12:00,video,10,10,0.0,cosine,15,0.1,cosine,25,,leaf,cosine,42,5,0.4194,35,62,189
2026-04-17T03:12:10,video,10,10,0.0,euclidean,15,0.1,euclidean,25,,leaf,euclidean,42,5,0.3702,38,73,208
2026-04-17T03:12:10,video,10,10,0.0,euclidean,15,0.1,euclidean,25,,leaf,cosine,42,5,0.4016,34,65,213
