umap_n_components,umap_n_neighbors,umap_min_dist,umap_metric,hdbscan_min_cluster_size,hdbscan_cluster_selection_method,hdbscan_metric,whitening,n_clusters,noise_ratio,dbcv,silhouette
15,10,0.0,correlation,10,eom,cosine,whiten_32,23,0.3676,0.4748,0.7452
15,10,0.0,correlation,15,eom,cosine,whiten_32,13,0.4063,0.3968,0.61
15,10,0.0,cosine,15,eom,cosine,whiten_32,2,0.0,0.7835,0.6539
15,10,0.0,cosine,10,eom,cosine,whiten_32,22,0.3265,0.5438,0.7302
15,10,0.0,cosine,15,eom,euclidean,whiten_32,2,0.0,0.5102,0.4653
15,10,0.0,cosine,10,eom,euclidean,whiten_32,3,0.0,0.3303,0.2939
15,10,0.05,correlation,15,eom,cosine,whiten_32,14,0.5006,0.3346,0.7204
15,10,0.05,correlation,10,eom,euclidean,whiten_32,18,0.4184,0.2816,0.5593
15,10,0.05,correlation,10,eom,cosine,whiten_32,19,0.4365,0.4496,0.7554
15,10,0.05,cosine,10,eom,cosine,whiten_32,20,0.4123,0.4268,0.6961
15,10,0.05,correlation,15,eom,euclidean,whiten_32,10,0.4268,0.2372,0.4125
15,10,0.05,cosine,10,eom,euclidean,whiten_32,2,0.0,0.3741,0.3927
15,10,0.05,cosine,15,eom,cosine,whiten_32,2,0.0012,0.6872,0.639
15,10,0.05,cosine,15,eom,euclidean,whiten_32,2,0.0024,0.5231,0.3941
15,15,0.0,correlation,10,eom,euclidean,whiten_32,17,0.3495,0.3811,0.5477
15,15,0.0,correlation,10,eom,cosine,whiten_32,16,0.3555,0.5228,0.7042
15,15,0.0,correlation,15,eom,cosine,whiten_32,15,0.416,0.486,0.7626
15,15,0.0,cosine,10,eom,euclidean,whiten_32,3,0.0,0.2947,0.2279
15,15,0.0,cosine,10,eom,cosine,whiten_32,20,0.4281,0.4554,0.7755
15,15,0.0,correlation,15,eom,euclidean,whiten_32,15,0.4027,0.3682,0.5764
15,15,0.0,cosine,15,eom,cosine,whiten_32,2,0.0181,0.5611,0.4835
15,15,0.0,cosine,15,eom,euclidean,whiten_32,2,0.0181,0.2869,0.2935
15,15,0.05,correlation,10,eom,cosine,whiten_32,16,0.4123,0.4408,0.7184
15,15,0.05,correlation,10,eom,euclidean,whiten_32,16,0.4486,0.2956,0.5535
15,15,0.05,cosine,10,eom,euclidean,whiten_32,21,0.4522,0.2928,0.596
15,15,0.05,correlation,15,eom,cosine,whiten_32,14,0.4692,0.3934,0.7372
15,15,0.05,correlation,15,eom,euclidean,whiten_32,12,0.468,0.2672,0.4988
15,15,0.05,cosine,10,eom,cosine,whiten_32,21,0.4401,0.4709,0.7972
15,15,0.05,cosine,15,eom,cosine,whiten_32,14,0.5284,0.332,0.6479
15,15,0.05,cosine,15,eom,euclidean,whiten_32,9,0.4365,0.2805,0.437
35,10,0.0,correlation,10,eom,cosine,whiten_32,20,0.4244,0.4715,0.7805
35,10,0.0,correlation,10,eom,euclidean,whiten_32,19,0.4002,0.3289,0.5859
35,10,0.0,correlation,15,eom,euclidean,whiten_32,14,0.3978,0.3251,0.5498
35,10,0.0,correlation,15,eom,cosine,whiten_32,10,0.3507,0.4317,0.5055
35,10,0.0,cosine,10,eom,euclidean,whiten_32,3,0.0085,0.4989,0.2896
35,10,0.0,cosine,10,eom,cosine,whiten_32,20,0.4268,0.4571,0.7969
35,10,0.0,cosine,15,eom,cosine,whiten_32,2,0.0169,0.6031,0.4584
35,10,0.05,correlation,10,eom,cosine,whiten_32,19,0.3821,0.4919,0.7699
35,10,0.0,cosine,15,eom,euclidean,whiten_32,2,0.0169,0.3234,0.3051
35,10,0.05,correlation,10,eom,euclidean,whiten_32,19,0.3773,0.3615,0.5838
35,10,0.05,cosine,10,eom,cosine,whiten_32,19,0.4111,0.4408,0.7264
35,10,0.05,correlation,15,eom,euclidean,whiten_32,12,0.4583,0.2818,0.5477
35,10,0.05,correlation,15,eom,cosine,whiten_32,12,0.4764,0.3551,0.7427
35,10,0.05,cosine,15,eom,euclidean,whiten_32,2,0.0,0.5729,0.33
35,10,0.05,cosine,10,eom,euclidean,whiten_32,2,0.0,0.5539,0.3936
35,10,0.05,cosine,15,eom,cosine,whiten_32,2,0.0,0.7747,0.5458
35,15,0.0,correlation,10,eom,cosine,whiten_32,17,0.2866,0.5268,0.5814
35,15,0.0,correlation,10,eom,euclidean,whiten_32,17,0.3809,0.3222,0.5482
35,15,0.0,cosine,10,eom,cosine,whiten_32,21,0.364,0.4901,0.7544
35,15,0.0,correlation,15,eom,euclidean,whiten_32,13,0.4426,0.3124,0.5488
35,15,0.0,correlation,15,eom,cosine,whiten_32,13,0.4426,0.4299,0.737
35,15,0.0,cosine,15,eom,cosine,whiten_32,2,0.0,0.8074,0.4132
35,15,0.0,cosine,10,eom,euclidean,whiten_32,20,0.4027,0.3716,0.6274
35,15,0.0,cosine,15,eom,euclidean,whiten_32,2,0.0,0.5472,0.2778
35,15,0.05,correlation,10,eom,cosine,whiten_32,18,0.4063,0.4472,0.7206
35,15,0.05,correlation,10,eom,euclidean,whiten_32,19,0.3966,0.3283,0.5666
35,15,0.05,correlation,15,eom,euclidean,whiten_32,12,0.4293,0.3093,0.4634
35,15,0.05,correlation,15,eom,cosine,whiten_32,11,0.4377,0.3706,0.5853
35,15,0.05,cosine,10,eom,cosine,whiten_32,20,0.4329,0.4538,0.7806
35,15,0.05,cosine,10,eom,euclidean,whiten_32,19,0.4123,0.3357,0.5836
35,15,0.05,cosine,15,eom,cosine,whiten_32,14,0.5091,0.3678,0.7503
35,15,0.05,cosine,15,eom,euclidean,whiten_32,2,0.0375,0.2007,0.2336
15,10,0.0,correlation,10,eom,euclidean,whiten_64,2,0.0,0.4714,0.3182
15,10,0.0,correlation,10,eom,cosine,whiten_64,18,0.4002,0.4597,0.6941
15,10,0.0,cosine,10,eom,cosine,whiten_64,21,0.4244,0.4334,0.7229
15,10,0.0,correlation,15,eom,cosine,whiten_64,11,0.5139,0.3293,0.5516
15,10,0.0,correlation,15,eom,euclidean,whiten_64,9,0.555,0.2121,0.4865
15,10,0.0,cosine,10,eom,euclidean,whiten_64,20,0.3845,0.3021,0.5076
15,10,0.0,cosine,15,eom,cosine,whiten_64,11,0.4873,0.3362,0.5905
15,10,0.0,cosine,15,eom,euclidean,whiten_64,11,0.5405,0.2193,0.5347
15,10,0.05,correlation,10,eom,cosine,whiten_64,18,0.4619,0.3315,0.6578
15,10,0.05,correlation,15,eom,cosine,whiten_64,12,0.549,0.2989,0.6669
15,10,0.05,correlation,10,eom,euclidean,whiten_64,2,0.0,0.5141,0.3773
15,10,0.05,correlation,15,eom,euclidean,whiten_64,12,0.5308,0.2126,0.4721
15,10,0.05,cosine,10,eom,cosine,whiten_64,17,0.4547,0.3709,0.6449
15,10,0.05,cosine,10,eom,euclidean,whiten_64,2,0.0,0.5155,0.2905
15,10,0.05,cosine,15,eom,cosine,whiten_64,11,0.6614,0.2527,0.7801
